iter	Passed	Remaining
0	1	109
1	1	97
2	2	94
3	4	101
4	5	98
5	5	91
6	6	89
7	7	87
8	8	86
9	10	90
10	11	91
11	12	89
12	13	87
13	13	84
14	14	81
15	15	78
16	15	77
17	16	75
18	17	73
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	69
27	26	67
28	27	66
29	27	64
30	28	63
31	29	62
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	54
41	38	52
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	54	36
60	55	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	65	23
74	66	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	82	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	86	1
98	87	0
99	87	0
