iter	Passed	Remaining
0	195	195337
1	196	98105
2	197	65650
3	198	49354
4	198	39575
5	199	33057
6	201	28524
7	202	25062
8	203	22364
9	204	20210
10	204	18427
11	205	16937
12	206	15682
13	207	14626
14	208	13704
15	209	12893
16	210	12162
17	211	11522
18	211	10940
19	212	10417
20	214	9980
21	215	9588
22	216	9212
23	217	8858
24	218	8528
25	219	8221
26	220	7937
27	221	7687
28	222	7449
29	223	7220
30	224	7006
31	224	6801
32	225	6608
33	226	6426
34	226	6254
35	228	6126
36	229	5985
37	230	5846
38	231	5711
39	232	5585
40	233	5464
41	234	5354
42	236	5253
43	236	5147
44	237	5042
45	238	4941
46	239	4846
47	239	4757
48	240	4668
49	242	4602
50	243	4529
51	244	4453
52	245	4380
53	245	4308
54	246	4238
55	247	4172
56	248	4110
57	249	4054
58	250	3994
59	251	3935
60	252	3879
61	252	3825
62	253	3772
63	254	3720
64	255	3675
65	257	3637
66	257	3592
67	258	3547
68	259	3503
69	260	3460
70	261	3416
71	261	3375
72	262	3338
73	264	3306
74	264	3267
75	265	3228
76	266	3190
77	266	3153
78	267	3116
79	267	3081
80	268	3048
81	270	3029
82	271	2996
83	272	2967
84	272	2938
85	273	2908
86	274	2879
87	275	2851
88	275	2823
89	276	2796
90	277	2774
91	278	2748
92	279	2722
93	279	2696
94	280	2671
95	281	2647
96	281	2623
97	282	2599
98	283	2575
99	284	2558
100	285	2543
101	286	2523
102	287	2504
103	288	2484
104	289	2464
105	289	2444
106	290	2424
107	291	2408
108	292	2391
109	293	2374
110	294	2355
111	294	2336
112	295	2317
113	295	2299
114	296	2281
115	297	2264
116	297	2246
117	299	2239
118	300	2228
119	301	2212
120	302	2196
121	302	2180
122	303	2165
123	304	2150
124	305	2136
125	305	2121
126	306	2106
127	307	2091
128	307	2077
129	308	2063
130	308	2048
131	309	2034
132	310	2021
133	310	2008
134	311	1995
135	312	1982
136	312	1970
137	314	1963
138	315	1951
139	315	1939
140	316	1927
141	316	1914
142	317	1903
143	318	1892
144	319	1881
145	319	1870
146	320	1859
147	321	1848
148	321	1837
149	322	1827
150	323	1816
151	323	1806
152	324	1796
153	325	1786
154	325	1776
155	326	1766
156	327	1757
157	329	1756
158	330	1748
159	331	1739
160	331	1728
161	332	1719
162	333	1710
163	333	1701
164	334	1692
165	335	1683
166	335	1674
167	336	1666
168	337	1658
169	337	1649
170	338	1642
171	339	1634
172	340	1627
173	341	1619
174	341	1612
175	343	1609
176	344	1602
177	345	1597
178	346	1591
179	347	1584
180	348	1577
181	349	1570
182	350	1563
183	350	1555
184	351	1549
185	352	1542
186	353	1535
187	353	1528
188	354	1523
189	356	1518
190	357	1515
191	359	1511
192	360	1505
193	360	1499
194	361	1493
195	362	1486
196	363	1479
197	363	1473
198	364	1467
199	365	1461
200	366	1455
201	366	1449
202	367	1443
203	368	1437
204	369	1431
205	369	1425
206	370	1419
207	372	1418
208	374	1417
209	375	1412
210	376	1407
211	377	1401
212	377	1396
213	378	1391
214	379	1386
215	380	1380
216	381	1375
217	382	1370
218	382	1365
219	384	1361
220	385	1357
221	387	1358
222	389	1356
223	390	1351
224	390	1346
225	391	1341
226	392	1335
227	392	1330
228	393	1324
229	394	1319
230	394	1313
231	395	1308
232	395	1303
233	396	1298
234	397	1293
235	398	1288
236	398	1283
237	399	1278
238	400	1273
239	401	1270
240	402	1268
241	403	1263
242	404	1259
243	405	1254
244	405	1250
245	406	1245
246	406	1240
247	407	1236
248	408	1232
249	409	1228
250	410	1224
251	410	1219
252	411	1214
253	412	1210
254	412	1205
255	413	1201
256	413	1196
257	414	1192
258	416	1192
259	417	1188
260	418	1184
261	419	1180
262	419	1176
263	420	1172
264	421	1169
265	422	1164
266	422	1160
267	423	1156
268	424	1152
269	424	1148
270	425	1144
271	425	1139
272	426	1135
273	427	1132
274	427	1127
275	428	1123
276	429	1120
277	430	1118
278	431	1116
279	432	1112
280	433	1108
281	433	1104
282	434	1100
283	435	1097
284	435	1093
285	436	1089
286	437	1086
287	437	1082
288	438	1078
289	439	1075
290	439	1071
291	440	1067
292	441	1064
293	441	1060
294	442	1056
295	442	1053
296	443	1049
297	444	1047
298	446	1046
299	447	1043
300	448	1040
301	449	1037
302	449	1034
303	450	1031
304	451	1029
305	452	1025
306	452	1022
307	453	1018
308	454	1015
309	454	1012
310	455	1008
311	456	1005
312	456	1002
313	457	998
314	457	995
315	458	992
316	460	991
317	460	988
318	461	985
319	462	983
320	463	980
321	464	977
322	464	974
323	465	972
324	467	970
325	468	967
326	468	964
327	469	961
328	469	958
329	470	955
330	471	952
331	471	949
332	472	946
333	473	944
334	474	942
335	475	939
336	476	937
337	476	934
338	477	931
339	478	928
340	479	925
341	479	923
342	480	920
343	480	917
344	481	914
345	482	911
346	482	908
347	483	905
348	483	902
349	484	899
350	485	897
351	485	894
352	486	892
353	487	889
354	488	887
355	489	886
356	490	883
357	491	881
358	492	879
359	492	876
360	493	873
361	494	871
362	495	869
363	496	866
364	496	864
365	497	861
366	498	859
367	498	856
368	499	853
369	500	851
370	500	848
371	501	846
372	501	843
373	503	841
374	504	841
375	505	838
376	506	836
377	506	834
378	507	831
379	508	829
380	509	827
381	510	825
382	510	822
383	511	820
384	512	817
385	512	815
386	513	812
387	513	810
388	514	807
389	515	805
390	515	803
391	516	800
392	516	798
393	518	797
394	519	795
395	519	793
396	520	790
397	521	788
398	521	785
399	522	783
400	523	781
401	523	779
402	524	776
403	524	774
404	525	772
405	526	769
406	526	767
407	527	765
408	528	762
409	528	760
410	529	758
411	529	756
412	530	753
413	531	751
414	531	749
415	533	749
416	534	747
417	535	745
418	535	743
419	536	740
420	537	738
421	537	736
422	538	734
423	538	732
424	539	730
425	540	727
426	540	725
427	541	723
428	542	721
429	542	719
430	543	717
431	543	715
432	544	712
433	545	710
434	545	708
435	546	706
436	547	705
437	548	703
438	549	702
439	550	700
440	550	698
441	551	696
442	552	694
443	553	692
444	553	690
445	554	688
446	555	686
447	555	684
448	556	682
449	557	680
450	557	678
451	558	676
452	558	674
453	559	672
454	560	671
455	560	669
456	561	667
457	562	665
458	563	664
459	564	662
460	564	660
461	565	658
462	566	656
463	566	654
464	567	652
465	568	650
466	568	649
467	569	647
468	569	645
469	570	643
470	571	641
471	571	639
472	572	637
473	572	635
474	573	633
475	574	632
476	574	630
477	575	628
478	576	626
479	576	624
480	578	623
481	578	622
482	579	620
483	580	618
484	580	616
485	581	614
486	581	612
487	582	611
488	583	609
489	583	607
490	584	605
491	585	604
492	585	602
493	586	600
494	586	598
495	587	596
496	588	595
497	588	593
498	589	591
499	589	589
500	590	588
501	591	586
502	592	585
503	593	583
504	593	582
505	594	580
506	595	578
507	595	576
508	596	575
509	596	573
510	597	571
511	598	570
512	598	568
513	599	566
514	600	565
515	600	563
516	601	561
517	601	560
518	602	558
519	603	556
520	603	555
521	604	553
522	605	551
523	605	550
524	606	548
525	607	547
526	608	546
527	608	544
528	609	542
529	610	541
530	610	539
531	611	537
532	611	536
533	612	534
534	613	532
535	613	531
536	614	529
537	615	528
538	615	526
539	616	525
540	616	523
541	617	521
542	618	520
543	618	518
544	619	517
545	619	515
546	620	513
547	621	512
548	622	511
549	623	509
550	623	508
551	624	506
552	625	505
553	625	503
554	626	502
555	626	500
556	627	499
557	628	497
558	628	496
559	629	494
560	630	493
561	630	491
562	631	489
563	631	488
564	632	486
565	633	485
566	633	483
567	634	482
568	634	480
569	635	479
570	636	478
571	637	477
572	638	475
573	639	474
574	639	473
575	640	471
576	641	470
577	642	469
578	643	467
579	643	466
580	644	464
581	645	463
582	645	462
583	646	460
584	647	459
585	648	457
586	648	456
587	649	455
588	650	453
589	650	452
590	652	451
591	653	450
592	654	449
593	655	447
594	655	446
595	656	444
596	657	443
597	657	442
598	658	440
599	659	439
600	659	438
601	660	436
602	661	435
603	661	433
604	662	432
605	663	431
606	663	429
607	664	428
608	665	426
609	665	425
610	666	424
611	668	423
612	668	422
613	669	420
614	670	419
615	670	418
616	671	416
617	672	415
618	672	414
619	673	412
620	674	411
621	675	410
622	676	409
623	676	407
624	677	406
625	678	405
626	679	403
627	679	402
628	680	401
629	681	400
630	682	399
631	683	398
632	684	396
633	684	395
634	685	394
635	686	392
636	686	391
637	687	390
638	687	388
639	688	387
640	689	386
641	689	384
642	690	383
643	691	382
644	691	380
645	692	379
646	692	378
647	693	376
648	694	375
649	694	374
650	695	372
651	696	371
652	697	370
653	698	369
654	699	368
655	699	366
656	700	365
657	700	364
658	701	362
659	702	361
660	702	360
661	703	359
662	704	357
663	704	356
664	705	355
665	705	353
666	706	352
667	707	351
668	707	350
669	708	348
670	708	347
671	709	346
672	710	345
673	711	344
674	712	342
675	712	341
676	713	340
677	714	339
678	714	337
679	715	336
680	716	335
681	716	334
682	717	333
683	718	331
684	718	330
685	719	329
686	720	328
687	720	326
688	721	325
689	722	324
690	722	323
691	723	321
692	723	320
693	724	319
694	725	318
695	726	317
696	727	316
697	728	315
698	729	314
699	729	312
700	730	311
701	731	310
702	731	309
703	732	307
704	732	306
705	733	305
706	734	304
707	734	303
708	735	301
709	736	300
710	736	299
711	737	298
712	737	297
713	738	295
714	739	294
715	740	293
716	741	292
717	742	291
718	743	290
719	744	289
720	745	288
721	746	287
722	746	286
723	747	284
724	748	283
725	749	282
726	750	281
727	750	280
728	751	279
729	752	278
730	752	277
731	753	275
732	754	274
733	754	273
734	755	272
735	756	271
736	757	270
737	758	269
738	759	268
739	759	267
740	760	265
741	761	264
742	762	263
743	763	262
744	764	261
745	765	260
746	765	259
747	766	258
748	767	257
749	767	255
750	768	254
751	768	253
752	769	252
753	770	251
754	772	250
755	773	249
756	774	248
757	774	247
758	775	246
759	776	245
760	777	244
761	778	243
762	779	241
763	779	240
764	780	239
765	781	238
766	781	237
767	782	236
768	782	235
769	783	234
770	784	232
771	786	232
772	787	231
773	788	230
774	788	229
775	789	227
776	790	226
777	791	225
778	791	224
779	793	223
780	793	222
781	794	221
782	795	220
783	795	219
784	796	218
785	797	217
786	797	215
787	798	214
788	799	213
789	800	212
790	802	211
791	802	210
792	803	209
793	804	208
794	805	207
795	805	206
796	806	205
797	808	204
798	808	203
799	809	202
800	810	201
801	810	200
802	811	199
803	811	197
804	812	196
805	813	195
806	813	194
807	815	193
808	816	192
809	817	191
810	817	190
811	818	189
812	819	188
813	820	187
814	820	186
815	821	185
816	823	184
817	823	183
818	824	182
819	825	181
820	826	180
821	827	179
822	827	178
823	828	176
824	830	176
825	831	175
826	833	174
827	834	173
828	835	172
829	836	171
830	837	170
831	838	169
832	839	168
833	841	167
834	842	166
835	843	165
836	845	164
837	846	163
838	847	162
839	848	161
840	849	160
841	849	159
842	850	158
843	851	157
844	853	156
845	854	155
846	854	154
847	855	153
848	856	152
849	858	151
850	859	150
851	866	150
852	868	149
853	869	148
854	869	147
855	870	146
856	871	145
857	873	144
858	875	143
859	876	142
860	877	141
861	878	140
862	879	139
863	880	138
864	882	137
865	884	136
866	885	135
867	885	134
868	886	133
869	898	134
870	899	133
871	900	132
872	900	131
873	901	129
874	902	128
875	903	127
876	905	126
877	905	125
878	906	124
879	907	123
880	908	122
881	908	121
882	909	120
883	910	119
884	911	118
885	912	117
886	913	116
887	913	115
888	914	114
889	915	113
890	915	112
891	916	110
892	917	109
893	918	108
894	920	107
895	921	106
896	921	105
897	922	104
898	923	103
899	923	102
900	924	101
901	925	100
902	926	99
903	926	98
904	927	97
905	928	96
906	928	95
907	929	94
908	930	93
909	930	92
910	931	90
911	931	89
912	933	88
913	934	87
914	935	86
915	936	85
